id,birthday,deathday,actor_id,name,place_of_birth,profile_path,overview,score
1,1981-09-15,,222121,Ben Schwartz,"New York City, New York, USA",/5vV52TSEIhe4ZZLWwv3i7nfv8we.jpg,,0
2,1972-09-06,,17605,Idris Elba,"Hackney, London, England, UK",/be1bVF7qGX91a6c5WeRPs5pKXln.jpg,,0
3,1971-09-15,,1212864,Colleen O'Shaughnessey,"Grand Rapids, Michigan, USA ",/y3Kl5tCX1XD6uyL9wefTRbEXTwj.jpg,,0
4,1962-01-17,,206,Jim Carrey,"Newmarket, Ontario, Canada",/u0AqTz6Y7GHPCHINS01P7gPvDSb.jpg,,0
5,1973-09-18,,11006,James Marsden,"Stillwater, Oklahoma, USA",/mk142GG0saiSXALY6V4wWcmPROW.jpg,,0
6,1964-07-26,,18277,Sandra Bullock,"Arlington County, Virginia, USA",/u2tnZ0L2dwrzFKevVANYT5Pb1nE.jpg,,0
7,1980-04-26,,38673,Channing Tatum,"Cullman, Alabama, USA",/bhTmp6FA8fOQnGlNk75tdmj2bpu.jpg,,0
8,1989-07-23,,10980,Daniel Radcliffe,"Hammersmith, London, England, UK",/uAICvHxj4cwSGjEY9B09Mhqxrk.jpg,,0
9,1963-12-18,,287,Brad Pitt,"Shawnee, Oklahoma, USA",/oTB9vGIBacH5aQNS0pUM74QSWuf.jpg,,0
10,1986-05-21,,1180099,Da'Vine Joy Randolph,"Philadelphia, Pennsylvania, USA",/7RuYeGxTwFRt2q8fkT8nuEz1nIC.jpg,,0
11,1996-06-01,,1136406,Tom Holland,"Surrey, England, UK",/bBRlrpJm9XkNSg0YT5LCaxqoFMX.jpg,,0
12,1971-06-05,,13240,Mark Wahlberg,"Boston, Massachusetts, USA",/bTEFpaWd7A6AZVWOqKKBWzKEUe8.jpg,,0
13,1995-11-07,,1163789,Sophia Ali,"San Diego, California, USA",/uqXn3Gp0FlsV5kDLwJ6FbeuJvx2.jpg,,0
14,1996-01-25,,1859934,Tati Gabrielle,"San Francisco, California, USA",/txZTL1HkPVxliTilbjlwR51VIt6.jpg,,0
15,1960-08-10,,3131,Antonio Banderas,"Málaga, Andalucía, Spain",/iWIUEwgn2KW50MssR7tdPeFoRGW.jpg,,0
16,1976-08-25,,28846,Alexander Skarsgård,"Vällingby, Stockholm, Sweden",/caOe6hwHEE89AJfGdHatnrGgkKj.jpg,,0
17,1967-06-20,,2227,Nicole Kidman,"Honolulu, Hawaii, USA",/dlcNtb7y0Be1pOWdsogowLEsOta.jpg,,0
18,1967-04-28,,150802,Claes Bang,"Odense, Denmark",/w6kux5RIVfaGwHTb3yiDbaNHBPh.jpg,,0
19,1970-11-06,,569,Ethan Hawke,"Austin, Texas, USA",/a7rgJl8TYUWAfJuM4fxbLHgD7BL.jpg,,0
20,1996-04-16,,1397778,Anya Taylor-Joy,"Miami, Florida, USA",/aSOvCmB1nsl19IqrjuuWwaguvDh.jpg,,0
21,1986-05-13,,11288,Robert Pattinson,"Barnes, London, England, UK",/6RVxNlNmc0DIfZzaJKCJM43If3M.jpg,,0
22,1988-12-01,,37153,Zoë Kravitz,"Los Angeles, California, USA",/4uOfGQSKCz2I7HVV5vPwhvTD61y.jpg,,0
23,1984-06-19,,17142,Paul Dano,"New York City, New York, USA",/tHsaqfauzG4MuFs5oCbq0pRy5EF.jpg,,0
24,1965-12-07,,2954,Jeffrey Wright,"Washington, D.C., USA",/43EGVkmHzZFZQQHW20AL6GivrBD.jpg,,0
25,1957-02-28,,1241,John Turturro,"Brooklyn, New York, USA",/6O9W9cJW0kCqMzYeLupV9oH0ftn.jpg,,0
26,1973-01-01,,58942,Will Beinbrink,Bethesda - Maryland - USA,/6S5JeespvNqBlXkC03znn0Sdfey.jpg,,0
27,1992-09-11,,1601451,María Gabriela de Faría,"Caracas, Venezuela",/mMxLRggKxuQrwgtMpK3HMwhEmmH.jpg,,0
28,1977-01-04,,1050186,Irán Castillo,"Veracruz, Veracruz, Mexico",/aaCEVHA4ybRYP2wHYgCYwrO7NJG.jpg,,0
29,1948-08-18,,1212803,Joseph Marcell,"Saint Lucia, West Indies",/mbjY5qqeT9aV7weLzvbN1ikPq0M.jpg,,0
30,1971-09-12,,133766,Hector Kotsifakis,"Torreon, Coahuila, Mexico",/yMlCG0Yqigqo1dg8SCBrwUrjW8H.jpg,,0
31,1971-12-26,,7499,Jared Leto,"Bossier City, Louisiana, USA",/ca3x0OfIKbJppZh8S1Alx3GfUZO.jpg,,0
32,1982-10-28,,136532,Matt Smith,"Northampton, Northamptonshire, England, UK",/xr2GSp8Pm6fT5VGm0I9tsWVcZ8q.jpg,,0
33,1992-04-25,,1371297,Adria Arjona,"San Juan, Puerto Rico",/gBOblv33jhgAo997KzhEafNOb52.jpg,,0
34,1961-08-24,,15440,Jared Harris,"London, England, UK",/jAyPWkmge3BqXtgxIG9MfXBzOGj.jpg,,0
35,1971-07-04,,90534,Al Madrigal,"San Francisco, California, USA",/p4vN80EGGlzLb5J7G8Ss3n9K2pc.jpg,,0
